번호,면적,시도명,시군구명,용도,장소명,주소,최대수용인원,경도,위도,정좌표경도,정좌표위도,구분
2316,1123000000,서울특별시,동대문구,"연수,숙박",호텔시그니처,서울특별시 동대문구 장한로21길 8(장안동),66,127.06974,37.57015,206161.1076,552291.7161,안전
14337,1132000000,서울특별시,도봉구,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",학마을도서관,서울특별시 도봉구 시루봉로 128(방학동),1475,127.02794,37.66216,202465.017,562502.0655,안전
2751,1123000000,서울특별시,동대문구,"연수,숙박",유니크호텔,서울특별시 동대문구 이문로 192(이문동),80,127.0622,37.60376,205492.4709,556021.6427,안전
14342,1132000000,서울특별시,도봉구,학교,덕성여자대학교,서울특별시 도봉구 삼양로144길 33(쌍문동),2945,127.01698,37.65166,201498.1706,561336.6309,안전
14361,1132000000,서울특별시,도봉구,학교,효문고등학교,서울특별시 도봉구 우이천로 432(쌍문동),1216,127.01818,37.65256,201603.8977,561436.3563,안전
14362,1132000000,서울특별시,도봉구,학교,서울쌍문초등학교,서울특별시 도봉구 우이천로 360(쌍문동),2994,127.02439,37.6486,202152.5027,560997.5935,안전
14363,1132000000,서울특별시,도봉구,학교,백운중학교,서울특별시 도봉구 도봉로129길 50(쌍문동),2807,127.03596,37.65605,203172.8113,561824.0086,안전
14364,1132000000,서울특별시,도봉구,학교,신도봉중학교,서울특별시 도봉구 도봉로115길 16(쌍문동),4529,127.03321,37.64925,202930.4381,561069.9058,안전
14369,1132000000,서울특별시,도봉구,학교,북서울중학교,서울특별시 도봉구 도봉로169가길 33(도봉동),385,127.04291,37.68116,203785.3347,564611.259,안전
14341,1132000000,서울특별시,도봉구,학교,서울동북초등학교,서울특별시 도봉구 시루봉로 53(쌍문동),2879,127.02624,37.65529,202315.7249,561740.3321,안전
14339,1132000000,서울특별시,도봉구,학교,서울신화초등학교,서울특별시 도봉구 우이천로 120(창동),2650,127.04122,37.63246,203638.7761,559206.2843,안전
14401,1132000000,서울특별시,도봉구,학교,서울신방학초등학교,서울특별시 도봉구 시루봉로 173(방학동),543,127.02959,37.66579,202610.2489,562905.4759,안전
14372,1132000000,서울특별시,도봉구,학교,누원고등학교,서울특별시 도봉구 마들로 849(도봉동),301,127.04998,37.68553,204408.2083,565096.715,안전
14400,1132000000,서울특별시,도봉구,학교,서울초당초등학교,서울특별시 도봉구 해등로32길 11(방학동),338,127.0223,37.65815,201967.76,562056.8799,안전
14373,1132000000,서울특별시,도봉구,기타시설,디딤돌주택,서울특별시 도봉구 시루봉로23길 64(도봉동),20,127.04145,37.6733,203656.7842,563739.5024,안전
